Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Russian Federation,European Region of WHO,Eastern Europe,2019,9,25-02-19,03-03-19,66,6971,0,860,821,0,269,1950,0,0,13,13,1963,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,10,04-03-19,10-03-19,52,5224,0,639,607,0,153,1399,0,0,22,22,1421,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,11,11-03-19,17-03-19,53,5128,0,597,583,0,139,1319,0,0,28,28,1347,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,12,18-03-19,24-03-19,46,4190,0,293,369,0,78,740,0,0,32,32,772,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,13,25-03-19,31-03-19,22,3635,0,243,266,0,54,563,0,0,3,3,566,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,14,01-04-19,07-04-19,2,2876,0,131,142,0,18,291,0,0,17,17,308,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,15,08-04-19,14-04-19,17,2658,0,134,88,0,31,253,0,0,30,30,283,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,16,15-04-19,21-04-19,23,2757,0,55,92,0,11,158,0,0,22,22,180,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,17,22-04-19,28-04-19,10,2391,0,48,41,0,2,91,0,0,29,29,120,1,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,18,29-04-19,05-05-19,0,1059,0,11,10,,2,23,0,0,12,12,35,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,19,06-05-19,12-05-19,1,1298,0,13,19,0,2,34,0,0,11,11,45,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,20,13-05-19,19-05-19,9,1382,0,3,9,0,0,12,0,0,13,13,25,5,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,21,20-05-19,26-05-19,74,1346,0,32,36,0,1,69,0,0,13,13,82,9,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,22,27-05-19,02-06-19,33,1239,0,25,10,0,0,35,0,0,11,11,46,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,23,03-06-19,09-06-19,29,1188,0,9,9,0,0,18,0,0,11,11,29,8,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,24,10-06-19,16-06-19,26,978,0,8,8,0,0,16,0,9,1,10,26,4,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,25,17-06-19,23-06-19,5,5,,4,1,0,0,5,,,,,5,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,26,24-06-19,30-06-19,0,1056,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,27,01-07-19,07-07-19,0,1031,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,28,08-07-19,14-07-19,0,867,0,0,0,,0,0,0,0,1,1,1,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,29,15-07-19,21-07-19,0,939,0,1,0,,0,1,0,0,0,0,1,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,30,22-07-19,28-07-19,0,858,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,31,29-07-19,04-08-19,0,1001,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,32,05-08-19,11-08-19,0,944,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,33,12-08-19,18-08-19,0,1049,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,34,19-08-19,25-08-19,0,1070,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,35,26-08-19,01-09-19,0,1045,0,1,3,,0,4,0,0,0,0,4,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,36,02-09-19,08-09-19,0,1125,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,37,09-09-19,15-09-19,0,1230,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,38,16-09-19,22-09-19,0,1718,0,0,1,,0,1,0,0,0,0,1,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,39,23-09-19,29-09-19,0,1593,0,3,0,,0,3,0,0,2,2,5,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,40,30-09-19,06-10-19,0,1514,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,41,07-10-19,13-10-19,0,1862,0,0,0,,0,0,0,0,0,0,0,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,42,14-10-19,20-10-19,0,1945,0,0,1,,0,1,0,0,1,1,2,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,43,21-10-19,27-10-19,0,2177,0,0,3,,0,3,0,0,2,2,5,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,44,28-10-19,03-11-19,0,2174,0,0,0,,0,0,0,0,1,1,1,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,45,04-11-19,10-11-19,0,1949,0,0,1,,0,1,0,0,4,4,5,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,46,11-11-19,17-11-19,0,2310,0,0,2,,0,2,0,0,5,5,7,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,47,18-11-19,24-11-19,0,2113,0,1,1,,0,2,0,0,8,8,10,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,48,25-11-19,01-12-19,0,2479,0,10,4,,0,14,0,0,27,27,41,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,49,02-12-19,08-12-19,0,2634,0,11,1,,3,15,0,0,55,55,70,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,50,09-12-19,15-12-19,0,2940,0,39,2,,1,42,0,0,90,90,132,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,51,16-12-19,22-12-19,0,2864,0,70,11,,2,83,0,0,159,159,242,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2019,52,23-12-19,29-12-19,0,2823,0,73,14,,11,98,0,0,195,195,293,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2020,1,30-12-19,05-01-20,0,835,0,26,1,,4,31,0,0,105,105,136,,No Report
